DHID,De_m,A_m,RockCode1,Lith1,RockCode2_sw,Lith2_sw
MURALLA-04,111,111.4,PGH,hornbl-qtz-plag-felds-biot porphyry,skarnoid,fng calcsilicate rock w/micro- to macroscopic pyrox+/-garnet +/-scap; decr intensity downward- preserved layers black siliceous calcareous silst.
MURALLA-04,111.4,191.5,Ho,hornfels-Fm Kui; grant-serc-,skarnoid,fng calcsilicate rock w/micro- to macroscopic pyrox+/-garnet +/-scap; decr intensity downward- preserved layers black siliceous calcareous silst.
MURALLA-04,191.5,193,En,Endoskarn-micro vn-Ca-qzt-chl-Ep,skarnoid,fng calcsilicate rock w/micro- to macroscopic pyrox+/-garnet +/-scap; decr intensity downward- preserved layers black siliceous calcareous silst.
MURALLA-04,193,203,En,Endoskarn-micro vn-Ca-qzt-chl-Ep,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-04,203,204,En,Endoskarn-micro vn-Ca-qzt-chl-Ep,vnbxa,matrix-supported hydrothermal breccia and vein zone
MURALLA-04,204,227.5,Ho,hornfels-Fm Kui; grant-serc-,skarnoid,fng calcsilicate rock w/micro- to macroscopic pyrox+/-garnet +/-scap; decr intensity downward- preserved layers black siliceous calcareous silst.
MURALLA-04,227.5,228,En,Endoskarn-micro vn-Ca-qzt-chl-Ep,skarnoid,fng calcsilicate rock w/micro- to macroscopic pyrox+/-garnet +/-scap; decr intensity downward- preserved layers black siliceous calcareous silst.
MURALLA-04,228,229.8,En,Endoskarn-micro vn-Ca-qzt-chl-Ep,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-04,229.8,230,Ho,hornfels-Fm Kui; grant-serc-,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-04,230,241.4,Ho,hornfels-Fm Kui; grant-serc-,skarnoid,fng calcsilicate rock w/micro- to macroscopic pyrox+/-garnet +/-scap; decr intensity downward- preserved layers black siliceous calcareous silst.
MURALLA-04,241.4,243.7,En,Endoskarn-micro vn-Ca-qzt-chl-Ep,skarnoid,fng calcsilicate rock w/micro- to macroscopic pyrox+/-garnet +/-scap; decr intensity downward- preserved layers black siliceous calcareous silst.
MURALLA-04,243.7,261,Ho,hornfels-Fm Kui; grant-serc-,skarnoid,fng calcsilicate rock w/micro- to macroscopic pyrox+/-garnet +/-scap; decr intensity downward- preserved layers black siliceous calcareous silst.
MURALLA-04,261,261.2,Ho,hornfels-Fm Kui; grant-serc-,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-04,261.2,279,PGH,hornbl-qtz-plag-felds-biot porphyry,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-04,279,282,Ho,hornfels-Fm Kui; grant-serc-,skarnoid,fng calcsilicate rock w/micro- to macroscopic pyrox+/-garnet +/-scap; decr intensity downward- preserved layers black siliceous calcareous silst.
MURALLA-04,282,291.7,PGH,hornbl-qtz-plag-felds-biot porphyry,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-04,291.7,301,Ho,hornfels-Fm Kui; grant-serc-,skarnoid,fng calcsilicate rock w/micro- to macroscopic pyrox+/-garnet +/-scap; decr intensity downward- preserved layers black siliceous calcareous silst.
MURALLA-04,301,304,En,Endoskarn-micro vn-Ca-qzt-chl-Ep,skarnoid,fng calcsilicate rock w/micro- to macroscopic pyrox+/-garnet +/-scap; decr intensity downward- preserved layers black siliceous calcareous silst.
MURALLA-04,304,313,Ho,hornfels-Fm Kui; grant-serc-,skarnoid,fng calcsilicate rock w/micro- to macroscopic pyrox+/-garnet +/-scap; decr intensity downward- preserved layers black siliceous calcareous silst.
MURALLA-04,313,314,PGH,hornbl-qtz-plag-felds-biot porphyry,skarnoid,fng calcsilicate rock w/micro- to macroscopic pyrox+/-garnet +/-scap; decr intensity downward- preserved layers black siliceous calcareous silst.
MURALLA-04,314,315,En,Endoskarn-micro vn-Ca-qzt-chl-Ep,skarnoid,fng calcsilicate rock w/micro- to macroscopic pyrox+/-garnet +/-scap; decr intensity downward- preserved layers black siliceous calcareous silst.
MURALLA-04,315,317,En,Endoskarn-micro vn-Ca-qzt-chl-Ep,vnbxa,matrix-supported hydrothermal breccia and vein zone
MURALLA-04,317,318,En,Endoskarn-micro vn-Ca-qzt-chl-Ep,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-04,318,320,PGH,hornbl-qtz-plag-felds-biot porphyry,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-04,320,348.95,En,Endoskarn-micro vn-Ca-qzt-chl-Ep,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-04,348.95,366.2,Qzm,porfid-horbl-qzt-felds-plag-ser,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-04,366.2,433,PGH,hornbl-qtz-plag-felds-biot porphyry,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-04,433,437.3,En,Endoskarn-micro vn-Ca-qzt-chl-Ep,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-04,437.3,458.1,PGH,hornbl-qtz-plag-felds-biot porphyry,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-04,458.1,473.5,Qzm,porfid-horbl-qzt-felds-plag-ser,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-04,473.5,481.3,PGH,hornbl-qtz-plag-felds-biot porphyry,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-04,481.3,502.1,Qzm,porfid-horbl-qzt-felds-plag-ser,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-04,502.1,519.68,PGH,hornbl-qtz-plag-felds-biot porphyry,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-08,0,10,Ho,ox-fe-mg- malaquita,skarnoid,fng calcsilicate rock w/micro- to macroscopic pyrox+/-garnet +/-scap; decr intensity downward- preserved layers black siliceous calcareous silst.
MURALLA-08,10,11.3,En,endoskarn-contac ho-PG,skarnoid,fng calcsilicate rock w/micro- to macroscopic pyrox+/-garnet +/-scap; decr intensity downward- preserved layers black siliceous calcareous silst.
MURALLA-08,11.3,25.5,PG,hornbl-qtz-plag-felds-biot porphyry,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-08,25.5,27.1,PG,hornbl-qtz-plag-felds-biot porphyry,vnbxa,matrix-supported hydrothermal breccia and vein zone
MURALLA-08,27.1,28.1,PG,hornbl-qtz-plag-felds-biot porphyry,skarnoid,fng calcsilicate rock w/micro- to macroscopic pyrox+/-garnet +/-scap; decr intensity downward- preserved layers black siliceous calcareous silst.
MURALLA-08,28.1,32.5,PG,hornbl-qtz-plag-felds-biot porphyry,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-08,32.5,57.7,Qzm,de garno fina con vetilleo,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-08,57.7,58,En,endoskarn / Horfels,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-08,58,112,En,endoskarn / Horfels,skarnoid,fng calcsilicate rock w/micro- to macroscopic pyrox+/-garnet +/-scap; decr intensity downward- preserved layers black siliceous calcareous silst.
MURALLA-08,112,113,En,endoskarn / Horfels,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-08,113,114,Qzm,de garno fina con vetilleo,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-08,114,114.35,Qzm,de garno fina con vetilleo,skarnoid,fng calcsilicate rock w/micro- to macroscopic pyrox+/-garnet +/-scap; decr intensity downward- preserved layers black siliceous calcareous silst.
MURALLA-08,114.35,118.55,En,py diss; escasas vetillas de ca/py,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-08,118.55,191.2,PGH,hornbl-qtz-plag-felds-biot porphyry,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-08,191.2,231.5,En,intensidad variable sobre PGH,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-08,231.5,233,Qzm,porfidico-hipidiomorfo alt-incipiente,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-08,233,261,En,fenoc lixiviados- devil vetilleo,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-08,261,264,Qzm,contac en falla c/ py-ca-qtz- vn-mod,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-08,264,284.5,Qzm,dike?,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-08,284.5,287.75,PGH,porfido mod- lixiviado hacia contactos,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-08,287.75,302.2,Qzm,vn-qtz con alo de alt,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-08,302.2,314.6,PGH,py diss 2+,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-08,314.6,317.6,Qzm,magn--; py- malaquita diss,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-08,317.6,336.5,PGH,asimilados por Qzm?,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-08,336.5,351.2,PGH / Qzm,intercalaci¢n,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-08,351.2,410.7,Qzm,c/ float of PGH- cont off in fault-magn,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-08,410.7,419.55,PGH / Qzm,intercalaci¢n litologias mod alt.,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-08,419.55,429.45,PGH,vn mod-py/ca,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-08,429.45,459.9,PGH,zonas de Fx2+; vn-qtz1+,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-08,459.9,473.63,PGH,roca sana y magn‚tica,Tdp,hornbl diorite to qtz-diorite porphyry
